,Title,Description,Link,Location,Price,Rooms,Total area,This floor/Number of floors,Built in year,Condition,Ownership,Energy mark,Data from realestate book,Notify about incorrect advertisement,Lisainfo,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Neighbourhood,Cadastre no.,Register number,Kulud suvel/talvel,Number of floors,Additional information,population
483,"Apartment for sale, 3 rooms, Koidu tn 42, Kunda linn, Viru-Nigula vald, Lääne-Virumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/sinu-uus-ja-hubane-korter-ootab-kunda-linnas-korte-3392319.html,"59.505699,26.5086573",36500.0,3.0,67.6 m²,1/3,1993.0,renovated,,-,Data from realestate book,,"balcony 4 m², packet windows, parquet, box-room","electric stove, kitchen furniture","shower, washing machine",central heating,"Internet, cable TV, frontdoor locked",water body sea 3 km,34501:003:0300,,,,,157.0
484,"Apartment for sale, 3 rooms, Punane 31, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, panel house",https://www.kv.ee/korter-on-kapitaalselt-renoveeritud-aastal-2021-ko-3368861.html,"59.4341654,24.8239974",133900.0,3.0,60.9 m²,3/9,,renovated,private property,D,Data from realestate book,,"balcony 4 m², TV-set, wall cupboard, new electricity, separate rooms, furniture, packet windows, parquet, lift, closed balcony","ceramic shove, kitchen 8 m², refridgerator, kitchen furniture","new sewerage, shower, bath, toilet room and bathroom separate",central heating,"Internet, cable TV, neighbourhood watch, frontdoor locked, security system","neighbours next to neighbours, location in the center location, surrounding buildings apartment buildings, roads in good condition roads",,,60 € /  130 €,,,8597.0
485,"Apartment for sale, 4 rooms, Vabaõhumuuseumi tee 1, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-ilusa-panoraammerevaatega-4toaline-korter-roc-3392328.html,"59.4272706,24.6622096",549500.0,4.0,156.2 m²,5/8,2017.0,all brand-new,apartment ownership,B,Data from realestate book,,"balcony , urban water, electricity, parquet, dressing room, ventilation, parking free parking, gas, separate rooms, new electricity, public transport, garage, lift, near forest, roof tar paper roof",open kitchen,"sauna, new sewerage, bath, shower","heated floors, gas heating, conditioner, geothermic heating, conditioner","steel door, frontdoor locked",water body sea near,,,,,,1149.0
486,"Apartment for sale, 3 rooms, Lasteaia 2, Kuressaare linn, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-3toaline-roduga-korter-lasteaia-2-aadressil-k-3392325.html,"58.252339,22.4836457",164000.0,3.0,57.6 m²,1/2,2021.0,all brand-new,apartment ownership,C,,,"balcony , urban water, electricity, ventilation, parquet, box-room, separate rooms, new electricity, closed courtyard, public transport, fenced with garden, roof tin roof",open kitchen,"new sewerage, shower","central heating, heated floors",frontdoor locked,,34901:007:0278,,,,,1791.0
487,"Apartment for sale, 4 rooms, Paldiski mnt 221a, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/harku-jarve-aarde-on-kerkimas-14korruseline-kaasae-3392321.html,"59.4118415,24.6366499",259000.0,4.0,84.6 m²,6/14,2023.0,all brand-new,apartment ownership,B,Data from realestate book,,"balcony , parquet, ventilation, urban water, public transport, lift, roof tar paper roof",open kitchen,"sauna, shower",central heating,frontdoor locked,water body lake near,,,,,,12056.0
488,"Apartment for sale, 1 rooms, Pelguranna tn 19, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kui-unistasid-elamisest-laanemere-kaldal-maalilise-3385452.html,"59.4515648,24.6858082",76800.0,1.0,27 m²,2/4,,Good condition,apartment ownership,-,,,"new electricity, packet windows, furniture, box-room","gas stove, refridgerator, kitchen furniture","new sewerage, shower, water boiler, washing machine",central heating,"Internet, phone, cable TV, frontdoor locked","roads in good condition roads, Stromka sea 100 m",78408:805:1540,,40 € /  80 €,,,1685.0
489,"Apartment for sale, 5 rooms, Kihelkonna mnt 1, Kuressaare linn, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/5-toaline-korter-maja-keskel-aknad-avanevad-nii-ki-3369903.html,"58.262365,22.4822773",99900.0,5.0,88.7 m²,3/4,1993.0,Good condition,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"balcony 5 m², wall cupboard, new electricity, separate rooms, furnishing possibility, furniture, packet windows, parquet, box-room","ceramic shove, kitchen 10 m², kitchen furniture","shower, water boiler","õhksoojuspump, heated floors, central heating",,"in the city location, surrounding buildings apartment buildings",34901:006:0204,1380634.0,,,,2027.0
490,"Apartment for sale, 3 rooms, Tina 7, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/broneeritud-muua-suure-terrassiga-eksklusiivne-kor-3392311.html,"59.4361378,24.7745851",520000.0,3.0,131.2 m²,4/4,2014.0,ready,apartment ownership,,,Notify about incorrect advertisement,"balcony , balcony 11.2 m², lift, electricity, box-room, street entrance, show case windows, public transport, urban water, wall cupboard, organisation through the few floors, separate rooms, terrace, water, parquet, fenced with garden","ceramic shove, open kitchen, refridgerator, kitchen furniture","sauna, bath, toilet room and bathroom separate, shower, washing machine","õhksoojuspump, heated floors, central heating","cable TV, frontdoor locked",,78401:113:0590,23593301.0,,,,20334.0
491,"Apartment for sale, 4 rooms, Härjapea 6/2, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/hinnatud-pelgulinna-asumis-ootab-hubane-korter-oma-3391744.html,"59.4389264,24.7197691",223740.0,4.0,82.5 m²,,1908.0,renovated,apartment ownership,-,Data from realestate book,,"organisation through the few floors, closed courtyard, roof apartment, parking free parking","gas stove, open kitchen, refridgerator, kitchen furniture","new sewerage, shower, washing machine","stove heating, gas heating, fireplace",,,,,,3.0,,4282.0
492,"Apartment for sale, 2 rooms, Tartu mnt 32, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/harjumaa-tallinn-kesklinn-tartu-mnt-32-2-tuba-34-k-3392305.html,"59.4314175,24.7670733",299000.0,2.0,100 m²,3/4,,all brand-new,apartment ownership,-,,,"balcony 2 m², parking free parking, high ceilings, separate entryway, closed courtyard, TV-set, separate rooms, furniture, packet windows, parquet, box-room, wall cupboard, new electricity","ceramic shove, open kitchen, refridgerator, kitchen furniture","new sewerage, bath, washing machine","central heating, heated floors, combined heating","Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch, video cameras","in the city location, roads in good condition roads, neighbours at one side neighbours, surrounding buildings apartment buildings",78401:111:0013,,100 € /  168 €,,,20334.0
