Price,Rooms,Total area,Number of floors,Condition,Readiness,Ground area,Energy mark,Built in year,population,Building type,id,Balcony,Balcony size,Distance from Tallinn,frontdoor locked,street entrance,terrace,kitchen,closed courtyard,furniture,liquid fuel,cloak room,furnishing possibility,water,ventilation,goods lift,new electricity,garret,electricity,lift,open kitchen,urban water,packet windows,trestle,underground garage,new sewerage,garage,deep well,parquet,fenced with garden,local water,organisation through the few floors,TV-set,gas,show case windows,near forest,well,high ceilings,dressing room,separate entryway,public transport,box-room,basement,sewerage,separate rooms,3*380V,farm building,refridgerator,kitchen furniture,shower,bath,toilet room and bathroom separate,water boiler,sauna,washing machine,pool,heated floors,fireplace,conditioner,solid fuel,phone,cable TV,Internet,video cameras,security system,secure guard,steel door,neighbourhood watch,forest,sea,river,lake,stream,pond,This floor,Total number of floors,Latitude,Longitude,Ownership_apartment association,Ownership_apartment ownership,Ownership_building lease,Ownership_joint ownership,Ownership_logical part,Ownership_movable,Ownership_private property,Heating type_Air source heat pump,Heating type_central,Heating type_combined,Heating type_electric,Heating type_gas,Heating type_geothermic,Heating type_stove
74900.0,1.0,158.0,1.0,4,4,6841.0,8,2022.0,6.0,0,12,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,58.0365677797414,27.5018524817067,0,0,0,0,0,0,1,0,0,0,0,0,0,0
259000.0,3.0,1047.0,2.0,4,4,1047.0,8,2022.0,95.0,0,13,0,0.0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,59.463811,24.389458,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98000.0,4.0,110.0,1.0,1,4,2354.0,8,2022.0,214.0,0,14,0,0.0,0.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,1,1,58.5266551,25.4627804,0,0,0,0,0,0,1,0,0,0,0,0,0,1
159000.0,4.0,166.3,2.0,6,2,0.0,8,2018.0,5.0,0,15,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,59.259668801782,24.7107740257812,0,0,0,0,0,0,1,0,0,0,0,0,1,0
595000.0,3.0,242.1,2.0,5,4,13334.0,8,2008.0,23.0,0,16,1,0.0,0.0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,1,59.2209379,25.0460322,0,0,0,0,0,0,1,0,0,0,0,0,1,0
109000.0,5.0,180.0,2.0,0,4,770.0,8,1977.0,567.0,0,17,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,58.8861618,25.5416443,0,0,0,0,0,0,1,1,0,0,0,0,0,0
330000.0,5.0,203.6,2.0,1,4,1164.0,8,2009.0,444.0,0,18,1,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1,1,59.4613257,24.4459714,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130100.0,31.0,1350.0,3.0,0,3,0.0,4,1955.0,1408.0,0,19,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1,1,58.8861716,25.5575102,0,0,0,0,0,0,1,0,1,0,0,0,0,0
280000.0,3.0,91.6,1.0,5,4,1004.0,8,2022.0,131.0,0,20,0,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,59.538182488578,24.793616427485,0,0,0,0,0,0,1,0,0,0,0,0,0,1
275000.0,4.0,156.0,1.0,5,4,0.0,8,2008.0,112.0,0,21,0,0.0,0.0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,1,59.2813829,24.651727,0,0,0,0,0,0,1,0,0,1,0,0,0,0
